"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"824","@yugster is giving away a #Macbook #laptop or #Samsung #TV ! You get to pick. Sign up now.  https://t.co/AOkz5KQxcU",FALSE,0,"Yugster",2017-01-17 11:51:17,FALSE,NA,"821324005814702080","15937770","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","morethanyours",0,FALSE,FALSE,NA,NA,"Charleston, SC","en","http://pbs.twimg.com/profile_images/661509966126260224/KIalRHfW_normal.jpg"
"825","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 11:51:16,FALSE,NA,"821324001553379328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Na_Hers",1332,TRUE,FALSE,NA,NA,"","fr","http://pbs.twimg.com/profile_images/445113213198155776/zEKyeOuM_normal.jpeg"
"826","RT @Androidheadline: GET ALL THE LATEST ANDROID NEWS &amp; RUMORS, REVIEWS, APPS, VIDEOS &amp; MORE! 24/7 #android #samsung https://t.co/VZ4u9FB5Qr",FALSE,0,NA,2017-01-17 11:51:02,FALSE,NA,"821323943394955266",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","peeradah",135,TRUE,FALSE,NA,NA,"","th","http://pbs.twimg.com/profile_images/819883173756555264/srCRxl8i_normal.jpg"
"827","@nurulvia_na Mau #UangTunai #500ribu &amp; #Samsung #Smartphone?!! BURUAN Follow @postingiklan , Cek Fav-nya",FALSE,0,"nurulvia_na",2017-01-17 11:51:00,FALSE,NA,"821323936763781125","2485770967","<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","fick_hamzah",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/473695011570085888/t2DUtQcV_normal.jpeg"
"828","Hay @Lilih_Rohimah  Mau #UangTunai #200ribu &amp; #Samsung #Smartphone Gratis? Yuk Follow @postingiklan Cek Fav-nya!!",FALSE,0,NA,2017-01-17 11:50:59,FALSE,NA,"821323930711396353",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","dea_milanisti",0,FALSE,FALSE,NA,NA,"indonesia","en","http://pbs.twimg.com/profile_images/473685317166178304/cg88bYGr_normal.jpeg"
"829","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 11:50:42,FALSE,NA,"821323858640769028",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","batistab17",1332,TRUE,FALSE,NA,NA,"France","fr","http://pbs.twimg.com/profile_images/628095111717634048/NPHA_2Ji_normal.jpg"
"830","Galaxy S8: S Health-Update soll Apples HealthKit Konkurrenz machen: https://t.co/uPXx0PvXoZ #App #Samsung #Smartphone  #eCommerce",FALSE,0,NA,2017-01-17 11:50:38,FALSE,NA,"821323844669599744",NA,"<a href=""http://www.e-commerce-news.net"" rel=""nofollow"">e-commerce-news.net</a>","eCommerce_DE",0,FALSE,FALSE,NA,NA,"Berlin","de","http://pbs.twimg.com/profile_images/701421244235825152/fnNZnKWO_normal.png"
"831","RT phonandroid: Galaxy S8 : sa date de sortie serait prévue pour le 15 avril &gt; https://t.co/qckokA8K0W #Samsung #… https://t.co/3H9aspZy8o",FALSE,0,NA,2017-01-17 11:50:23,FALSE,NA,"821323780685492224",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","hawebservices",0,FALSE,FALSE,NA,NA,"HAITI - Port-Au-Prince","en","http://pbs.twimg.com/profile_images/815991914361221120/GWyVI8uB_normal.jpg"
"832","Now It's EVEN Cheaper To Get Started With #Samsung's ""#SmartThings""
https://t.co/T5Si3EGNy3",FALSE,0,NA,2017-01-17 11:50:20,FALSE,NA,"821323768635101186",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","donnamct",0,FALSE,FALSE,NA,NA,"Calgary, Alberta, Canada","en","http://pbs.twimg.com/profile_images/797777286766264321/hAqd4Kq8_normal.jpg"
"833","Niedlugo w Naszym sklepie #www.mltholding.pl nowe produkty Telefony #Samsung A3 i A5 2017

Wiecej mocy, odpornosc... https://t.co/N2NOvEio78",FALSE,0,NA,2017-01-17 11:50:17,FALSE,NA,"821323754156544000",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","mlt_holding",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/715201846734929920/pSzJ5c8d_normal.jpg"
"834","Kërkohet ndërrim për Samsung Galaxy S5. Klikoni portalin tonë për detajet e plota #TelefoniYT #Samsung #Galaxy… https://t.co/IoWKkLvUJz",FALSE,0,NA,2017-01-17 11:50:12,TRUE,NA,"821323734434844672",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TelefoniYt",0,FALSE,FALSE,NA,NA,"Kosovë","en","http://pbs.twimg.com/profile_images/461965785422766080/yVd2hTxA_normal.jpeg"
"835","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 11:50:06,FALSE,NA,"821323711617892352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hugojhn",1332,TRUE,FALSE,NA,NA,"Bretagne, France","fr","http://pbs.twimg.com/profile_images/793101197469188096/u1BWhk1Q_normal.jpg"
"836","@boulanger la couleur a l’air top!! #Samsung",FALSE,1,"boulanger",2017-01-17 11:50:02,FALSE,"821270531362136064","821323693611773952","122333150","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","Galou63",0,FALSE,FALSE,NA,NA,"Ménétrol","fr","http://pbs.twimg.com/profile_images/3059766279/8ca5a430454f472c0c12abd9174ffdca_normal.jpeg"
"837","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 11:49:54,FALSE,NA,"821323660111781888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Romanolv12",1332,TRUE,FALSE,NA,NA,"","fr","http://pbs.twimg.com/profile_images/706087591880364033/TgmxjgG5_normal.jpg"
"838","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 11:49:50,FALSE,NA,"821323643426930690",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Malacay14",1332,TRUE,FALSE,NA,NA,"","fr","http://pbs.twimg.com/profile_images/757571095331475456/_XQjj9jY_normal.jpg"
"839","The face of Samsung chief Lee Jae-yong when questioned about possible political corruption in South Korea. #samsung… https://t.co/RLiT7Scl1z",FALSE,0,NA,2017-01-17 11:49:48,TRUE,NA,"821323634392367104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KOEkstrom",1,FALSE,FALSE,NA,NA,"Mare Nubium","sv","http://pbs.twimg.com/profile_images/581104584896200704/x4pNDPv7_normal.jpg"
"840","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 11:49:42,FALSE,NA,"821323607284609024",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","Galou63",1332,TRUE,FALSE,NA,NA,"Ménétrol","fr","http://pbs.twimg.com/profile_images/3059766279/8ca5a430454f472c0c12abd9174ffdca_normal.jpeg"
"841","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 11:48:54,FALSE,NA,"821323408592044032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mrcirrus72",1332,TRUE,FALSE,NA,NA,"Bourgogne","fr","http://pbs.twimg.com/profile_images/794278362613219335/5TdEgPUP_normal.jpg"
"842","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 11:48:39,FALSE,NA,"821323344758902784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MonsieurB__",1332,TRUE,FALSE,NA,NA,"paris, France","fr","http://pbs.twimg.com/profile_images/810093415253811200/z086hwQY_normal.jpg"
"843","#Ventas de #smartphones: #Huawei y #Samsung se disputan el #liderazgo en #España https://t.co/zg1ORLjxod",FALSE,0,NA,2017-01-17 11:48:38,FALSE,NA,"821323340501630976",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","jaldurio",0,FALSE,FALSE,NA,NA,"Madrid, Comunidad de Madrid","es","http://pbs.twimg.com/profile_images/687006759911845888/YPbvqXpz_normal.jpg"
"844","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 11:48:28,FALSE,NA,"821323298285977600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LexandraVause",1332,TRUE,FALSE,NA,NA,"Barcelone, Espagne","fr","http://pbs.twimg.com/profile_images/802931067959279616/3d-llHT9_normal.jpg"
"845","@FatmaRahma3 Mau #UangTunai #200ribu &amp; #Samsung #Smartphone Gratis? Yuk Follow @postingiklan Cek Favoritenya!",FALSE,0,"FatmaRahma3",2017-01-17 11:48:19,FALSE,NA,"821323262374211584","1573265419","<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","kamal_zabbar",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/416851464380628992/2JP9kmX4_normal.jpeg"
"846","https://t.co/rRGdXIQBcm #samsung #sasmung6 #lufc #LeedsUnited #eBay #auction #yorkshire Only 3 hours left!!!… https://t.co/1xPGL1lFL0",FALSE,0,NA,2017-01-17 11:48:07,TRUE,NA,"821323208506929152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MMEngravePrint",0,FALSE,FALSE,NA,NA,"Walsall, England","en","http://pbs.twimg.com/profile_images/780356012452745216/KEZpSFBi_normal.jpg"
"847","@SelfianaELF Mau #UangTunai #200ribu &amp; #Samsung #Smartphone Gratis? Yuk Follow @postingiklan Cek Fav-nya!!",FALSE,0,"SelfianaELF",2017-01-17 11:48:02,FALSE,NA,"821323189942792192","1557721974","<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","irlangga46",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/429595294615879680/ybjdMQZ5_normal.jpeg"
